hora,tipo_sinal,direcao,tamanho_canal_pct_atr,distancia_sma_pct_atr,rsi,vela_gatilho_corpo_pct,aceleracao_velas_contra,vela_1_antes_corpo_pct,vela_1_antes_favor,vela_2_antes_corpo_pct,vela_2_antes_favor,alvo_win
16,0,1,0.7863501483681661,1.5633531157272436,52.1342160526143,0.5357142857145123,1,0.864864864865173,-1,0.7536231884054986,1,1
17,0,1,1.4332247557002007,1.9895765472311884,59.70304512625487,0.7121212121212936,0,0.3614457831324431,1,0.7731958762885796,1,1
17,0,1,1.4216478190629087,2.1886914378029423,61.279428606037946,0.3518518518521107,1,0.7121212121212936,-1,0.3614457831324431,1,1
17,0,1,1.4216478190629087,1.765266558966064,57.63719004458029,0.4385964912282478,0,0.3518518518521107,1,0.7121212121212936,-1,1
18,0,1,1.1655629139073167,2.5639735099339256,55.90098867908938,0.575000000000222,0,0.1034482758620161,1,0.9636363636365252,1,1
18,0,1,1.1458333333333697,3.458463541667162,62.01996283742288,0.6782608695652291,1,0.575000000000222,-1,0.1034482758620161,1,1
18,0,1,1.1671087533156577,3.4331564986737164,61.27110405015302,0.326086956522012,0,0.4285714285714285,1,0.6782608695652291,1,1
18,0,1,1.2500000000000393,4.017187500000321,63.42066556048544,0.6,1,0.326086956522012,-1,0.4285714285714285,1,1
18,0,1,1.29602356406486,3.8226804123713887,60.823825858977386,0.2950819672128641,0,0.6,1,0.326086956522012,-1,1
19,0,-1,0.8842652795836075,3.8319895968789672,26.36503112225769,0.399999999999889,1,0.2500000000001542,-1,0.5365853658538963,1,1
19,0,-1,0.8935611038105142,3.232063074901645,32.50103351999388,0.5421686746986759,0,0.399999999999889,1,0.2500000000001542,-1,1
19,0,-1,0.6727037516168668,1.4062095730918849,50.12497058860416,0.6065573770491505,0,0.4666666666666419,1,0.8985507246376718,1,1
19,0,-1,0.7282913165263685,2.111204481792519,46.69647808217279,0.6307692307692255,1,0.6065573770491505,-1,0.4666666666666419,1,1
20,0,-1,0.2839116719240582,4.283123028391105,43.47832197264332,0.7083333333332947,0,0.8055555555557783,1,0.4516129032254945,1,1
20,0,-1,0.2970297029700249,3.4008250825077138,50.51656943358284,0.8345864661653383,0,0.9223300970873076,1,0.2564102564108695,-1,1
